setup_id,rank,sharpe_lb,sharpe_median,omega_ratio,support,best_performing_ticker,entry_direction,annualized_return,volatility,max_drawdown,first_trigger_date,last_trigger_date,description,signal_ids
SETUP_0012,1,20.2545,23.1927,999.0000,40.0000,PLTR US Equity,long,0.0000,0.2529,0.0000,2019-11-18,2024-12-03,BMY US Equity_px_zscore_90d is_very_high_z AND XLC US Equity_px_zscore_90d is_high,"SIG_00475, SIG_00075"
SETUP_0015,1,20.1180,25.7621,45.2637,87.0000,ARM US Equity,long,0.0000,0.2006,-0.0194,2020-05-28,2023-12-18,XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high AND C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos,"SIG_00889, SIG_00994"
SETUP_0014,1,19.4677,24.5400,49.6535,77.0000,ARM US Equity,long,0.0000,0.2237,-0.0277,2020-05-29,2024-06-05,JPM US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00986, SIG_00889"
SETUP_0016,1,18.1451,21.8473,216.2708,91.0000,ARM US Equity,long,0.0000,0.3183,-0.0063,2023-04-28,2024-07-02,LLY US Equity_frac_diff_px is_high AND XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00342, SIG_00889"
SETUP_0017,1,16.7802,21.1685,21.8787,102.0000,PLTR US Equity,long,0.0000,0.1988,-0.0223,2018-05-31,2025-01-29,BMY US Equity_px_zscore_30d is_high AND JPM US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00469, SIG_00984"
SETUP_0020,1,16.4995,20.6082,19.9572,129.0000,ARM US Equity,long,2300.6063,0.4477,-0.0681,2020-03-10,2025-04-08,JPM US Equity_vs_SPY US Equity_beta_px_60d is_high AND XLE US Equity_realized_vol_21d is_high,"SIG_00984, SIG_00012"
SETUP_0018,1,16.1492,19.7171,49.2193,107.0000,TSLA US Equity,long,0.0000,0.4018,-0.0516,2020-03-17,2020-08-12,XLE US Equity_realized_vol_21d is_high AND XLE US Equity_vs_SPY US Equity_beta_px_60d is_high AND XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00012, SIG_00873, SIG_00889"
SETUP_0019,1,15.7318,18.8137,36.8627,116.0000,TSLA US Equity,long,0.0000,0.4047,-0.0514,2020-03-17,2023-04-13,XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high AND XLE US Equity_realized_vol_21d is_high,"SIG_00889, SIG_00012"
SETUP_0021,1,14.3043,18.1390,20.6468,139.0000,BTC Index,long,54.4439,0.2400,-0.0560,2018-08-02,2024-12-11,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND AAPL US Equity_px_zscore_90d is_high,"SIG_00994, SIG_00307"
SETUP_0022,1,13.8587,17.2448,16.2340,155.0000,ARM US Equity,long,32.3500,0.2156,-0.0577,2018-07-16,2024-12-11,C US Equity_vs_SPY US Equity_beta_px_60d z_breakout_pos AND MSFT US Equity_px_zscore_90d is_very_high_z,"SIG_00994, SIG_00285"
SETUP_0011,1,13.1722,16.9604,4650.5640,39.0000,ARM US Equity,long,0.0000,0.5933,-0.0003,2020-03-17,2024-06-13,XLRE US Equity_vs_SPY US Equity_beta_px_60d is_high AND XLE US Equity_realized_vol_21d z_breakout_pos,"SIG_00889, SIG_00014"
SETUP_0023,1,8.8693,14.1763,6.8721,173.0000,COIN US Equity,long,511.6128,0.5096,-0.3774,2020-02-28,2021-10-13,XLE US Equity_vs_SPY US Equity_beta_px_60d is_high AND XLE US Equity_realized_vol_21d is_high,"SIG_00873, SIG_00012"
SETUP_0024,1,4.9589,8.7440,3.8368,225.0000,CRWV US Equity,long,246.1825,0.6748,-0.5644,2018-12-27,2025-05-09,XLE US Equity_realized_vol_21d is_high AND AAPL US Equity_realized_vol_21d is_high,"SIG_00012, SIG_00315"
SETUP_0025,1,4.4257,7.9121,3.4175,241.0000,CRWV US Equity,long,148.3785,0.6634,-0.5619,2018-12-27,2025-05-09,SPX Index_realized_vol_21d is_high AND XLE US Equity_realized_vol_21d is_high,"SIG_00634, SIG_00012"
SETUP_0026,1,3.2966,7.3237,3.1135,262.0000,TSLA US Equity,long,32.9618,0.5293,-0.6999,2019-04-26,2023-05-22,JPM US Equity_vs_SPY US Equity_beta_px_60d is_high AND XLE US Equity_vs_SPY US Equity_beta_px_60d is_high,"SIG_00984, SIG_00873"
SETUP_0027,1,1.9860,4.9425,2.2374,274.0000,CRWV US Equity,long,21.2653,0.6663,-0.5566,2018-02-16,2025-05-09,AAPL US Equity_realized_vol_21d is_high AND SPX Index_realized_vol_21d is_high,"SIG_00315, SIG_00634"
