setup_id,fold,rank,sharpe_lb,sharpe_median,omega_ratio,support,annualized_return,volatility,max_drawdown,best_performing_ticker,entry_direction,first_trigger_date,last_trigger_date,chosen_tickers,chosen_horizons,num_selected_tickers,description,signal_ids
SETUP_0010,6,1,8.977193,11.130472,7.083232,11.000000,0.000000,0.702295,-0.045345,MSTR US Equity,long,2022-02-04,2022-10-24,"MSTR US Equity, PLTR US Equity, GOOGL US Equity, COIN US Equity, JPM US Equity","{'MSTR US Equity': 10, 'PLTR US Equity': 1, 'GOOGL US Equity': 1, 'COIN US Equity': 3, 'JPM US Equity': 3}",5,AMZN US Equity_realized_vol_21d is_high AND AMD US Equity_oi_callput_skew_z_60d z_breakout_pos,"SIG_00768, SIG_01618"
SETUP_0011,6,1,2.186451,12.227614,2.559577,12.000000,0.000000,0.593877,-0.067636,MSTR US Equity,long,2021-04-27,2023-06-23,"MSTR US Equity, XLE US Equity, GOOGL US Equity, C US Equity, XLC US Equity","{'MSTR US Equity': 10, 'XLE US Equity': 5, 'GOOGL US Equity': 1, 'C US Equity': 1, 'XLC US Equity': 5}",5,AMD US Equity_oi_callput_skew_z_60d z_breakout_pos AND NKE US Equity_open_interest_call_pctchg_3d_z_60d is_low,"SIG_01618, SIG_01822"
SETUP_0012,6,1,2.186451,12.227614,2.559577,12.000000,0.000000,0.593877,-0.067636,MSTR US Equity,long,2021-04-27,2023-06-23,"MSTR US Equity, XLE US Equity, GOOGL US Equity, C US Equity, XLC US Equity","{'MSTR US Equity': 10, 'XLE US Equity': 5, 'GOOGL US Equity': 1, 'C US Equity': 1, 'XLC US Equity': 5}",5,AMD US Equity_oi_callput_skew_z_60d z_breakout_pos AND NKE US Equity_open_interest_call_pctchg_3d_z_60d is_low,"SIG_01618, SIG_01822"
SETUP_0013,6,1,2.186451,11.488767,2.559577,12.000000,0.000000,0.593877,-0.067636,MSTR US Equity,long,2021-04-27,2023-06-23,"XLE US Equity, GOOGL US Equity, C US Equity, MSTR US Equity, XLC US Equity","{'XLE US Equity': 5, 'GOOGL US Equity': 1, 'C US Equity': 1, 'MSTR US Equity': 10, 'XLC US Equity': 5}",5,NKE US Equity_open_interest_call_pctchg_3d_z_60d is_low AND AMD US Equity_oi_callput_skew_z_60d z_breakout_pos,"SIG_01822, SIG_01618"
SETUP_0014,6,1,-2.826131,1.273332,1.132802,43.000000,0.000000,0.623005,-0.234270,AAPL US Equity,long,2020-07-22,2022-08-15,"AAPL US Equity, COIN US Equity, XLE US Equity, MSTR US Equity, AMD US Equity","{'AAPL US Equity': 5, 'COIN US Equity': 1, 'XLE US Equity': 1, 'MSTR US Equity': 1, 'AMD US Equity': 1}",5,AMZN US Equity_realized_vol_21d is_high AND QQQ US Equity_tw_pub_z_30d is_high,"SIG_00768, SIG_00546"
SETUP_0015,7,1,9.247565,11.358527,8.539013,12.000000,0.000000,0.622258,-0.035880,MSTR US Equity,long,2022-02-04,2023-11-01,"MSTR US Equity, GOOGL US Equity, WMT US Equity, PLTR US Equity, JPM US Equity","{'MSTR US Equity': 10, 'GOOGL US Equity': 1, 'WMT US Equity': 1, 'PLTR US Equity': 1, 'JPM US Equity': 3}",5,AMZN US Equity_realized_vol_21d is_high AND AMD US Equity_oi_callput_skew_z_60d z_breakout_pos,"SIG_00768, SIG_01618"
SETUP_0016,7,1,3.819786,13.210171,6.013236,17.000000,0.000000,0.577098,-0.059802,AMD US Equity,long,2022-02-16,2023-11-01,"AMD US Equity, JPM US Equity, XLE US Equity, GOOGL US Equity, BMY US Equity","{'AMD US Equity': 10, 'JPM US Equity': 1, 'XLE US Equity': 3, 'GOOGL US Equity': 10, 'BMY US Equity': 1}",5,MSFT US Equity_vs_SPY US Equity_corr_delta_fisher_20_60_z_60d z_breakout_neg AND AMZN US Equity_realized_vol_21d is_high,"SIG_02749, SIG_00768"
SETUP_0017,7,1,-3.621404,1.433490,1.350276,41.000000,0.000000,0.421254,-0.116008,XLV US Equity,long,2022-02-04,2023-02-13,"XLK US Equity, XLV US Equity, AMD US Equity, NKE US Equity, AMZN US Equity","{'XLK US Equity': 1, 'XLV US Equity': 10, 'AMD US Equity': 1, 'NKE US Equity': 1, 'AMZN US Equity': 5}",5,PLTR US Equity_iv_call3m_shock_1d_z_30d is_high AND AMZN US Equity_realized_vol_21d is_high,"SIG_01419, SIG_00768"
SETUP_0021,8,1,9.168164,11.358527,8.539013,12.000000,0.000000,0.622258,-0.035880,MSTR US Equity,long,2022-02-04,2023-11-01,"MSTR US Equity, GOOGL US Equity, PLTR US Equity, WMT US Equity, JPM US Equity","{'MSTR US Equity': 10, 'GOOGL US Equity': 1, 'PLTR US Equity': 1, 'WMT US Equity': 1, 'JPM US Equity': 3}",5,AMZN US Equity_realized_vol_21d is_high AND AMD US Equity_oi_callput_skew_z_60d z_breakout_pos,"SIG_00768, SIG_01618"
SETUP_0018,8,1,7.521078,13.884299,9.866071,11.000000,0.000000,0.688959,-0.018915,MSTR US Equity,long,2022-01-24,2024-03-21,"XLC US Equity, PLTR US Equity, MSTR US Equity, AMD US Equity, XLRE US Equity","{'XLC US Equity': 3, 'PLTR US Equity': 3, 'MSTR US Equity': 10, 'AMD US Equity': 10, 'XLRE US Equity': 5}",5,AMD US Equity_oi_callput_skew_z_60d z_breakout_pos AND NKE US Equity_open_interest_call_pctchg_3d_z_60d is_low,"SIG_01618, SIG_01822"
SETUP_0019,8,1,7.521078,13.884299,9.866071,11.000000,0.000000,0.688959,-0.018915,MSTR US Equity,long,2022-01-24,2024-03-21,"PLTR US Equity, MSTR US Equity, AMD US Equity, XLC US Equity, XLRE US Equity","{'PLTR US Equity': 3, 'MSTR US Equity': 10, 'AMD US Equity': 10, 'XLC US Equity': 3, 'XLRE US Equity': 5}",5,AMD US Equity_oi_callput_skew_z_60d z_breakout_pos AND NKE US Equity_open_interest_call_pctchg_3d_z_60d is_low,"SIG_01618, SIG_01822"
SETUP_0020,8,1,7.521078,14.316176,9.866071,11.000000,0.000000,0.688959,-0.018915,MSTR US Equity,long,2022-01-24,2024-03-21,"XLC US Equity, PLTR US Equity, MSTR US Equity, AMD US Equity, XLRE US Equity","{'XLC US Equity': 3, 'PLTR US Equity': 3, 'MSTR US Equity': 10, 'AMD US Equity': 10, 'XLRE US Equity': 5}",5,NKE US Equity_open_interest_call_pctchg_3d_z_60d is_low AND AMD US Equity_oi_callput_skew_z_60d z_breakout_pos,"SIG_01822, SIG_01618"
SETUP_0022,8,1,-5.425065,0.514174,0.904552,32.000000,0.000000,0.939518,-0.371555,COIN US Equity,long,2022-02-04,2022-08-15,"COIN US Equity, XLE US Equity, MSTR US Equity, AMD US Equity, AMZN US Equity","{'COIN US Equity': 1, 'XLE US Equity': 1, 'MSTR US Equity': 5, 'AMD US Equity': 1, 'AMZN US Equity': 1}",5,AMZN US Equity_realized_vol_21d is_high AND QQQ US Equity_tw_pub_z_30d is_high,"SIG_00768, SIG_00546"
